Sample,Sample_name,Sample_id,Stage,Site,Rotation,Replicate,Microhabitat,Rot_Comp,Year,Stage_Rep,Stage_Loc,Stage_Comp,Stage_Rot_Comp,Stage_Rot,Season,Site_year
GT3WMBSR3,GoT3WMBS,Go063,T3,Go,WM,WMc,BS,WM_BS,Y2020,T3_WMc,T3_Go,T3_BS,T3_WM_BS,T3_WM,Dry,Go_2020
GT3WMRAR1,GoT3WMRA,Go064,T3,Go,WM,WMa,RA,WM_RA,Y2020,T3_WMa,T3_Go,T3_RA,T3_WM_RA,T3_WM,Dry,Go_2020
GT3WMRAR2,GoT3WMRA,Go065,T3,Go,WM,WMb,RA,WM_RA,Y2020,T3_WMb,T3_Go,T3_RA,T3_WM_RA,T3_WM,Dry,Go_2020
GT3WMRAR3,GoT3WMRA,Go066,T3,Go,WM,WMc,RA,WM_RA,Y2020,T3_WMc,T3_Go,T3_RA,T3_WM_RA,T3_WM,Dry,Go_2020
GT3WMRHR1,GoT3WMRH,Go067,T3,Go,WM,WMa,RH,WM_RH,Y2020,T3_WMa,T3_Go,T3_RH,T3_WM_RH,T3_WM,Dry,Go_2020
GT3WMRHR2,GoT3WMRH,Go068,T3,Go,WM,WMb,RH,WM_RH,Y2020,T3_WMb,T3_Go,T3_RH,T3_WM_RH,T3_WM,Dry,Go_2020
GT3WMRHR3,GoT3WMRH,Go069,T3,Go,WM,WMc,RH,WM_RH,Y2020,T3_WMc,T3_Go,T3_RH,T3_WM_RH,T3_WM,Dry,Go_2020
GT3WMRPR1,GoT3WMRP,Go070,T3,Go,WM,WMa,RP,WM_RP,Y2020,T3_WMa,T3_Go,T3_RP,T3_WM_RP,T3_WM,Dry,Go_2020
GT3WMRPR2,GoT3WMRP,Go071,T3,Go,WM,WMb,RP,WM_RP,Y2020,T3_WMb,T3_Go,T3_RP,T3_WM_RP,T3_WM,Dry,Go_2020
GT3WMRPR3,GoT3WMRP,Go072,T3,Go,WM,WMc,RP,WM_RP,Y2020,T3_WMc,T3_Go,T3_RP,T3_WM_RP,T3_WM,Dry,Go_2020
